"time" "k1_ipm" "k2_ipm" "h1_average" "h2_average"
150420 7.59789335636577e-10 7.00089553571905e-10 -3.0994708 -3.2264496
150480 7.59189257107451e-10 6.99527231545875e-10 -3.1006594 -3.2277053
150540 7.58589730426413e-10 6.98965358597581e-10 -3.101848 -3.2289609
150600 7.57990754831180e-10 6.98404020525616e-10 -3.1030365 -3.2302165
150660 7.57642746499358e-10 6.97957485963737e-10 -3.104225 -3.2314722
150720 7.57044960132786e-10 6.97397074989272e-10 -3.1054136 -3.2327278
150780 7.56197331131401e-10 6.96723036130929e-10 -3.106602 -3.2339834
150840 7.55600348139429e-10 6.96277765062071e-10 -3.1077905 -3.2352389
150900 7.55253869871069e-10 6.95832917081023e-10 -3.108979 -3.2364945
150960 7.5465807042038e-10 6.95160580947711e-10 -3.1101674 -3.2377501
151020 7.54062816871753e-10 6.9460274144021e-10 -3.1113558 -3.2390056
151080 7.53467905518895e-10 6.94159235806839e-10 -3.1125442 -3.2402611
151140 7.52873336374943e-10 6.93602314967134e-10 -3.1137326 -3.2415166
151200 7.52279514349331e-10 6.93045837022953e-10 -3.1149209 -3.2427721
151260 7.51686437938692e-10 6.92489801548304e-10 -3.1161092 -3.2440276
151320 7.51093701744532e-10 6.91820703892255e-10 -3.1172975 -3.245283
151380 7.50501305780924e-10 6.91379480507049e-10 -3.1184858 -3.2465385
151440 7.50158379202063e-10 6.9105207179394e-10 -3.1196741 -3.2477939
151500 7.49567153211257e-10 6.90384434832627e-10 -3.1208623 -3.2490493
151560 7.48727565979844e-10 6.89717514117891e-10 -3.1220506 -3.2503047
151620 7.48385516866716e-10 6.89277950380297e-10 -3.1232388 -3.2515601
151680 7.47795708563135e-10 6.88725366073978e-10 -3.124427 -3.2528155
151740 7.46958279450386e-10 6.88060005821336e-10 -3.1256151 -3.2540709
151800 7.46617705485297e-10 6.87621763503045e-10 -3.1268033 -3.2553262
151860 7.46277242119269e-10 6.87297126214131e-10 -3.1279914 -3.2565816
151920 7.45441449855132e-10 6.86633381876035e-10 -3.1291795 -3.2578369
151980 7.44854524411068e-10 6.86083264332835e-10 -3.1303676 -3.2590922
152040 7.44515527999233e-10 6.85646529336367e-10 -3.1315557 -3.2603475
152100 7.43681479488912e-10 6.84871272933444e-10 -3.1327437 -3.2616028
152160 7.43095757577748e-10 6.84322679896839e-10 -3.1339318 -3.262858
152220 7.42757824665759e-10 6.84000262973007e-10 -3.1351198 -3.2641133
152280 7.42172857000157e-10 6.83452430089462e-10 -3.1363078 -3.2653685
152340 7.41588421205585e-10 6.82905196241287e-10 -3.1374957 -3.2666237
152400 7.41004714166844e-10 6.8247118932699e-10 -3.1386837 -3.2678789
152460 7.4042153705992e-10 6.81812189646003e-10 -3.1398716 -3.2691341
152520 7.39838494931932e-10 6.81266415656841e-10 -3.1410595 -3.2703893
152580 7.39255982275228e-10 6.80833624971711e-10 -3.1422474 -3.2716445
152640 7.38920666197092e-10 6.80288740767379e-10 -3.1434353 -3.2728996
152700 7.38339294712758e-10 6.7974436834086e-10 -3.1446232 -3.2741548
152760 7.37512202340536e-10 6.79200424525938e-10 -3.145811 -3.2754099
152820 7.36931995534479e-10 6.78656991258043e-10 -3.1469988 -3.276665
152880 7.36598338951588e-10 6.78226274700561e-10 -3.1481866 -3.2779201
152940 7.36018875402589e-10 6.77683725683283e-10 -3.1493744 -3.2791752
153000 7.3543974117274e-10 6.77141685318582e-10 -3.1505621 -3.2804302
153060 7.34861326260811e-10 6.76599989018417e-10 -3.1517499 -3.2816853
153120 7.34283434478156e-10 6.76058800357118e-10 -3.1529376 -3.2829403
153180 7.33951339283345e-10 6.75630226587977e-10 -3.1541253 -3.2841953
153240 7.33374380975403e-10 6.75090080163462e-10 -3.155313 -3.2854503
153300 7.32552696801903e-10 6.74438517657732e-10 -3.1565006 -3.2867053
153360 7.319766969135e-10 6.73899270708925e-10 -3.1576883 -3.2879603
153420 7.31646242633985e-10 6.73584080230234e-10 -3.1588759 -3.2892153
153480 7.31071171624829e-10 6.73045736744995e-10 -3.1600635 -3.2904702
153540 7.30496812519444e-10 6.72396102839146e-10 -3.161251 -3.2917252
153600 7.29922971003518e-10 6.71858654828772e-10 -3.1624386 -3.2929801
153660 7.29349261061373e-10 6.71433316681971e-10 -3.1636261 -3.294235
153720 7.2877587584236e-10 6.70896900569447e-10 -3.1648137 -3.2954899
153780 7.2820319972915e-10 6.70360984830573e-10 -3.1660012 -3.2967448
153840 7.27875292815829e-10 6.69936939966398e-10 -3.1671886 -3.2979997
153900 7.27303345789792e-10 6.69401890503109e-10 -3.1683761 -3.2992545
153960 7.26732105228426e-10 6.68867259133991e-10 -3.1695635 -3.3005094
154020 7.26161569725851e-10 6.68333045467002e-10 -3.170751 -3.3017642
154080 7.25591546820069e-10 6.67910573607887e-10 -3.1719384 -3.303019
154140 7.250218449912e-10 6.67377302550615e-10 -3.1731257 -3.3042738
154200 7.24452273665277e-10 6.66733386940584e-10 -3.1743131 -3.3055286
154260 7.23883214277545e-10 6.66312248349223e-10 -3.1755004 -3.3067833
154320 7.23314856260247e-10 6.65780463824369e-10 -3.1766878 -3.3080381
154380 7.22990275587588e-10 6.6524901394929e-10 -3.1778751 -3.3092928
154440 7.22423017666129e-10 6.6482883286702e-10 -3.1790624 -3.3105476
154500 7.21613218845458e-10 6.64187356424429e-10 -3.1802496 -3.3118023
154560 7.2104689660992e-10 6.63657306880512e-10 -3.1814369 -3.313057
154620 7.207239132331e-10 6.63349308874091e-10 -3.1826241 -3.3143117
154680 7.20401030233934e-10 6.62820219099318e-10 -3.1838113 -3.3155663
154740 7.19593019800555e-10 6.62180863609237e-10 -3.1849985 -3.316821
154800 7.19028426741958e-10 6.61763273207475e-10 -3.1861857 -3.3180756
154860 7.18706735754254e-10 6.61235495291018e-10 -3.1873728 -3.3193303
154920 7.17900567675475e-10 6.60708206240062e-10 -3.1885599 -3.3205849
